class_id,count
0,0
1,0
2,0
3,49
4,1
5,0
6,8
7,3
8,16
9,4
10,12
11,6
12,6
13,12
14,45
15,9
16,11
17,51
18,61
19,28
20,1
21,32
22,20
23,22
24,35
25,36
26,0
27,2
28,9
29,10
30,51
31,17
32,17
33,15
34,18
35,53
36,42
