class_id,count
0,6
1,21
2,10
3,47
4,11
5,4
6,11
7,47
8,29
9,23
10,37
11,17
12,38
13,20
14,46
15,44
16,24
17,77
18,76
19,59
20,5
21,55
22,39
23,43
24,58
25,66
26,1
27,3
28,41
29,56
30,62
31,48
32,15
33,35
34,22
35,68
36,59
