class_id,accuracy,f1
0,0.08163265306122448,0.1509433962264151
1,0.64,0.6066350710900474
2,0.48,0.5133689839572193
3,0.78,0.8387096774193549
4,0.87,0.8405797101449275
5,0.43,0.3481781376518219
6,0.86,0.5850340136054422
7,0.6363636363636364,0.7466666666666667
8,0.7373737373737373,0.7487179487179487
9,0.72,0.6605504587155964
10,0.86,0.8431372549019608
11,0.8556701030927835,0.6287878787878788
12,0.92,0.9019607843137255
13,0.86,0.8958333333333334
14,0.99,0.8461538461538461
15,0.89,0.8944723618090452
16,0.93,0.8691588785046729
17,0.95,0.9405940594059405
18,0.9797979797979798,0.97
19,0.95,0.8260869565217391
20,0.4,0.5228758169934641
21,0.87,0.9109947643979057
22,0.72,0.8275862068965517
23,0.82,0.8241206030150754
24,0.93,0.9346733668341709
25,0.89,0.9319371727748691
26,0.15,0.22900763358778625
27,0.35,0.4430379746835443
28,0.94,0.8545454545454545
29,0.94,0.9494949494949495
30,0.9797979797979798,0.8899082568807339
31,0.98,0.8949771689497716
32,0.8,0.7511737089201878
33,0.81,0.8223350253807107
34,0.449438202247191,0.5095541401273885
35,0.76,0.8491620111731844
36,0.93,0.9441624365482234
