threshold,total,kept,keep_ratio
0.6,3643,131,0.035959374142190505
0.7,3643,55,0.015097447158934943
0.8,3643,15,0.0041174855888004395
0.9,3643,2,0.0005489980785067252
0.95,3643,0,0.0
