class_id,count
0,24
1,10
2,12
3,36
4,28
5,4
6,10
7,38
8,49
9,25
10,34
11,23
12,29
13,33
14,48
15,51
16,28
17,64
18,68
19,49
20,8
21,51
22,45
23,21
24,49
25,53
26,8
27,5
28,45
29,40
30,49
31,52
32,31
33,44
34,17
35,56
36,64
