class_id,accuracy,f1
0,0.7959183673469388,0.7684729064039408
1,0.87,0.7341772151898734
2,0.4,0.5228758169934641
3,0.92,0.8975609756097561
4,0.82,0.8770053475935828
5,0.35,0.4046242774566474
6,0.8,0.6986899563318777
7,0.8863636363636364,0.8571428571428571
8,0.8383838383838383,0.8383838383838383
9,0.8,0.7142857142857143
10,0.88,0.8934010152284264
11,0.7010309278350515,0.7391304347826086
12,0.95,0.9405940594059405
13,0.92,0.9292929292929293
14,0.97,0.9326923076923077
15,0.96,0.964824120603015
16,0.94,0.9261083743842364
17,1.0,0.975609756097561
18,0.98989898989899,0.9849246231155779
19,0.98,0.9751243781094527
20,0.71,0.6396396396396397
21,0.92,0.9387755102040817
22,0.97,0.9797979797979798
23,0.8,0.8205128205128205
24,0.95,0.9644670050761421
25,0.96,0.9746192893401016
26,0.69,0.6388888888888888
27,0.51,0.6107784431137725
28,0.97,0.9509803921568627
29,0.97,0.9651741293532339
30,0.9393939393939394,0.9346733668341709
31,0.99,0.9705882352941176
32,0.64,0.757396449704142
33,0.87,0.8969072164948454
34,0.6741573033707865,0.6185567010309279
35,0.93,0.9207920792079208
36,0.94,0.9591836734693877
