class_id,accuracy,f1
0,0.35714285714285715,0.30303030303030304
1,0.27,0.3673469387755102
2,0.23,0.2893081761006289
3,1.0,0.3466204506065858
4,0.01,0.019417475728155338
5,0.35,0.4268292682926829
6,0.04,0.06666666666666667
7,0.6704545454545454,0.44528301886792454
8,0.5252525252525253,0.4279835390946502
9,0.19,0.25333333333333335
10,0.7,0.5785123966942148
11,0.5360824742268041,0.6153846153846154
12,0.57,0.44357976653696496
13,0.07,0.1308411214953271
14,0.54,0.6585365853658537
15,0.44,0.3697478991596639
16,0.42,0.4421052631578947
17,1.0,0.2844950213371266
18,0.898989898989899,0.7982062780269058
19,0.96,0.7164179104477612
20,0.23,0.233502538071066
21,0.19,0.2620689655172414
22,0.22,0.35772357723577236
23,0.41,0.5222929936305732
24,0.26,0.35374149659863946
25,0.28,0.417910447761194
26,0.09,0.1232876712328767
27,0.4,0.38095238095238093
28,0.14,0.22950819672131148
29,0.12,0.1610738255033557
30,0.9797979797979798,0.6006191950464397
31,0.35,0.5147058823529411
32,0.54,0.5901639344262295
33,0.06,0.10810810810810811
34,0.02247191011235955,0.041666666666666664
35,0.3,0.45454545454545453
36,0.03,0.056074766355140186
