class_id,accuracy,f1
0,0.8571428571428571,0.7813953488372093
1,0.9,0.8108108108108109
2,0.42,0.5562913907284768
3,0.96,0.9230769230769231
4,0.87,0.9109947643979057
5,0.36,0.45
6,0.86,0.7413793103448276
7,0.9318181818181818,0.8586387434554974
8,0.8484848484848485,0.8442211055276382
9,0.83,0.7649769585253456
10,0.89,0.89
11,0.7835051546391752,0.7958115183246073
12,0.93,0.9207920792079208
13,0.88,0.9263157894736842
14,0.99,0.8878923766816144
15,0.96,0.9746192893401016
16,0.96,0.9458128078817734
17,1.0,0.9523809523809523
18,1.0,0.9801980198019802
19,0.97,0.9748743718592965
20,0.74,0.6820276497695853
21,0.94,0.94
22,0.97,0.9847715736040609
23,0.9,0.8571428571428571
24,0.96,0.9746192893401016
25,0.97,0.97
26,0.58,0.6480446927374302
27,0.43,0.5477707006369427
28,0.96,0.9504950495049505
29,0.99,0.9658536585365853
30,0.9393939393939394,0.93
31,0.98,0.9514563106796117
32,0.72,0.8
33,0.9,0.9183673469387755
34,0.6629213483146067,0.6276595744680851
35,0.95,0.9359605911330049
36,0.97,0.9797979797979798
