class_id,accuracy,f1
0,0.7551020408163265,0.7551020408163265
1,0.84,0.7148936170212766
2,0.35,0.4861111111111111
3,0.95,0.9178743961352657
4,0.84,0.8842105263157894
5,0.3,0.3592814371257485
6,0.68,0.6732673267326733
7,0.9545454545454546,0.8195121951219512
8,0.898989898989899,0.8855721393034826
9,0.67,0.708994708994709
10,0.86,0.864321608040201
11,0.7010309278350515,0.7311827956989247
12,0.92,0.9246231155778895
13,0.89,0.9175257731958762
14,0.99,0.8839285714285714
15,0.95,0.95
16,0.92,0.9387755102040817
17,1.0,0.9433962264150944
18,0.98989898989899,0.9655172413793104
19,0.97,0.9603960396039604
20,0.65,0.5726872246696035
21,0.89,0.9081632653061225
22,0.95,0.9693877551020408
23,0.85,0.8173076923076923
24,0.96,0.9746192893401016
25,0.98,0.9751243781094527
26,0.6,0.594059405940594
27,0.59,0.6243386243386243
28,0.96,0.9458128078817734
29,0.96,0.96
30,0.9494949494949495,0.9306930693069307
31,0.99,0.9565217391304348
32,0.74,0.8268156424581006
33,0.87,0.883248730964467
34,0.5955056179775281,0.5921787709497207
35,0.95,0.926829268292683
36,0.98,0.9849246231155779
