class_id,count
0,1
1,4
2,1
3,26
4,2
5,0
6,1
7,24
8,11
9,7
10,20
11,6
12,17
13,13
14,29
15,19
16,8
17,56
18,63
19,39
20,2
21,41
22,16
23,24
24,39
25,49
26,0
27,0
28,16
29,34
30,49
31,20
32,5
33,18
34,4
35,52
36,34
