class_id,count
0,36
1,54
2,23
3,69
4,38
5,16
6,57
7,73
8,55
9,59
10,56
11,39
12,72
13,48
14,65
15,76
16,51
17,86
18,89
19,75
20,46
21,80
22,62
23,68
24,75
25,85
26,13
27,17
28,67
29,78
30,72
31,75
32,35
33,67
34,70
35,86
36,73
