class_id,accuracy,f1
0,0.9081632653061225,0.8202764976958525
1,0.89,0.8165137614678899
2,0.58,0.6236559139784946
3,0.89,0.9368421052631579
4,0.97,0.9282296650717703
5,0.69,0.6540284360189573
6,0.82,0.780952380952381
7,0.9090909090909091,0.8938547486033519
8,0.9090909090909091,0.8866995073891626
9,0.67,0.788235294117647
10,0.89,0.898989898989899
11,0.7628865979381443,0.8222222222222222
12,0.93,0.9346733668341709
13,0.92,0.9435897435897436
14,0.99,0.9124423963133641
15,0.95,0.9595959595959596
16,0.98,0.9468599033816425
17,1.0,0.9900990099009901
18,0.9797979797979798,0.9797979797979798
19,0.96,0.9696969696969697
20,0.66,0.6910994764397905
21,0.92,0.9387755102040817
22,0.99,0.9850746268656716
23,0.85,0.8629441624365483
24,0.97,0.97
25,0.97,0.9748743718592965
26,0.75,0.6912442396313364
27,0.86,0.8309178743961353
28,0.96,0.96
29,0.97,0.97
30,0.9797979797979798,0.9797979797979798
31,0.99,0.9295774647887324
32,0.82,0.8817204301075269
33,0.9,0.9230769230769231
34,0.4943820224719101,0.5605095541401274
35,0.94,0.9494949494949495
36,0.97,0.9797979797979798
