threshold,total,kept,keep_ratio
0.6,3495,1550,0.4434907010014306
0.7,3495,1103,0.3155937052932761
0.8,3495,702,0.20085836909871244
0.9,3495,263,0.07525035765379114
0.95,3495,93,0.026609442060085836
