class_id,accuracy,f1
0,0.5510204081632653,0.6585365853658537
1,0.56,0.6187845303867403
2,0.17,0.2595419847328244
3,0.96,0.75
4,0.33,0.4782608695652174
5,0.33,0.3402061855670103
6,0.78,0.6724137931034483
7,0.7613636363636364,0.8481012658227848
8,0.8383838383838383,0.8137254901960784
9,0.71,0.7357512953367875
10,0.73,0.8295454545454546
11,0.6391752577319587,0.6888888888888889
12,0.78,0.8571428571428571
13,0.93,0.8815165876777251
14,0.98,0.8166666666666667
15,0.96,0.96
16,0.89,0.9175257731958762
17,1.0,0.9615384615384616
18,1.0,0.9519230769230769
19,0.97,0.9651741293532339
20,0.58,0.5155555555555555
21,0.85,0.8762886597938144
22,0.91,0.9238578680203046
23,0.93,0.7914893617021277
24,0.97,0.9797979797979798
25,0.99,0.9565217391304348
26,0.23,0.3129251700680272
27,0.62,0.6231155778894473
28,0.93,0.9253731343283582
29,0.97,0.9463414634146341
30,0.9090909090909091,0.9045226130653267
31,0.99,0.8918918918918919
32,0.84,0.8442211055276382
33,0.97,0.8940092165898618
34,0.6629213483146067,0.5244444444444445
35,0.96,0.9014084507042254
36,1.0,0.9803921568627451
