class_id,accuracy,f1
0,0.8979591836734694,0.7586206896551724
1,0.81,0.7570093457943925
2,0.44,0.5432098765432098
3,0.87,0.9109947643979057
4,0.95,0.9004739336492891
5,0.65,0.6372549019607843
6,0.71,0.7208121827411168
7,0.9090909090909091,0.9142857142857143
8,0.9393939393939394,0.7782426778242678
9,0.71,0.7888888888888889
10,0.86,0.8730964467005076
11,0.7731958762886598,0.8241758241758241
12,0.93,0.9253731343283582
13,0.89,0.9175257731958762
14,0.99,0.908256880733945
15,0.96,0.96
16,0.92,0.9246231155778895
17,0.99,0.9658536585365853
18,0.9797979797979798,0.9847715736040609
19,0.98,0.98
20,0.67,0.6871794871794872
21,0.9,0.9278350515463918
22,0.97,0.9847715736040609
23,0.72,0.8
24,0.94,0.9543147208121827
25,0.91,0.9430051813471503
26,0.76,0.6523605150214592
27,0.82,0.8241206030150754
28,0.94,0.9543147208121827
29,0.96,0.9504950495049505
30,0.98989898989899,0.9560975609756097
31,0.97,0.9463414634146341
32,0.86,0.900523560209424
33,0.89,0.9128205128205128
34,0.5168539325842697,0.5679012345679012
35,0.9,0.9278350515463918
36,0.99,0.9850746268656716
