threshold,total,kept,keep_ratio
0.6,2944,2382,0.8091032608695652
0.7,2944,2127,0.7224864130434783
0.8,2944,1811,0.6151494565217391
0.9,2944,1301,0.44191576086956524
0.95,2944,855,0.2904211956521739
