class_id,accuracy,f1
0,0.8571428571428571,0.84
1,0.85,0.8095238095238095
2,0.55,0.6111111111111112
3,0.95,0.926829268292683
4,0.91,0.9238578680203046
5,0.84,0.6885245901639344
6,0.72,0.7272727272727273
7,0.9090909090909091,0.9090909090909091
8,0.9090909090909091,0.8571428571428571
9,0.76,0.7755102040816326
10,0.88,0.9025641025641026
11,0.7525773195876289,0.8295454545454546
12,0.95,0.9359605911330049
13,0.9,0.9375
14,0.98,0.9560975609756097
15,0.93,0.9538461538461539
16,0.97,0.9371980676328503
17,1.0,0.9569377990430622
18,0.98989898989899,0.98
19,0.95,0.9644670050761421
20,0.62,0.6739130434782609
21,0.89,0.9222797927461139
22,0.98,0.9751243781094527
23,0.82,0.8367346938775511
24,0.96,0.9746192893401016
25,0.96,0.9746192893401016
26,0.7,0.693069306930693
27,0.69,0.770949720670391
28,0.94,0.9494949494949495
29,0.99,0.9705882352941176
30,0.98989898989899,0.9702970297029703
31,0.98,0.9607843137254902
32,0.89,0.8725490196078431
33,0.95,0.926829268292683
34,0.6179775280898876,0.5945945945945946
35,0.92,0.9484536082474226
36,0.97,0.9797979797979798
