class_id,accuracy,f1
0,0.5306122448979592,0.6419753086419753
1,0.82,0.7354260089686099
2,0.33,0.4489795918367347
3,0.98,0.7424242424242424
4,0.31,0.4696969696969697
5,0.3,0.3508771929824561
6,0.68,0.6355140186915887
7,0.8181818181818182,0.8421052631578947
8,0.8080808080808081,0.837696335078534
9,0.79,0.7348837209302326
10,0.8,0.8556149732620321
11,0.7216494845360825,0.6829268292682927
12,0.94,0.9261083743842364
13,0.86,0.9148936170212766
14,0.96,0.9142857142857143
15,0.96,0.9504950495049505
16,0.94,0.9353233830845771
17,1.0,0.966183574879227
18,1.0,0.9658536585365853
19,0.97,0.9509803921568627
20,0.45,0.46875
21,0.95,0.9178743961352657
22,0.97,0.9748743718592965
23,0.94,0.7611336032388664
24,0.96,0.9746192893401016
25,0.97,0.9748743718592965
26,0.35,0.41420118343195267
27,0.61,0.6288659793814433
28,0.97,0.9463414634146341
29,0.94,0.9447236180904522
30,0.8484848484848485,0.8888888888888888
31,0.99,0.9295774647887324
32,0.85,0.8542713567839196
33,0.93,0.9073170731707317
34,0.6404494382022472,0.5507246376811594
35,0.96,0.9014084507042254
36,0.98,0.9702970297029703
