class_id,accuracy,f1
0,0.9081632653061225,0.827906976744186
1,0.87,0.7699115044247787
2,0.47,0.5987261146496815
3,0.92,0.9484536082474226
4,0.97,0.9371980676328503
5,0.7,0.6542056074766355
6,0.65,0.7027027027027027
7,0.9090909090909091,0.9142857142857143
8,0.9292929292929293,0.8363636363636363
9,0.74,0.7914438502673797
10,0.88,0.9025641025641026
11,0.7835051546391752,0.8397790055248618
12,0.94,0.9170731707317074
13,0.88,0.9263157894736842
14,0.98,0.9468599033816425
15,0.95,0.9595959595959596
16,0.95,0.9405940594059405
17,1.0,0.970873786407767
18,1.0,0.9801980198019802
19,0.97,0.97
20,0.7,0.6965174129353234
21,0.94,0.9494949494949495
22,0.99,0.9850746268656716
23,0.81,0.8617021276595744
24,0.96,0.9795918367346939
25,0.97,0.9748743718592965
26,0.76,0.6972477064220184
27,0.7,0.7821229050279329
28,0.96,0.96
29,0.98,0.9655172413793104
30,0.98989898989899,0.9560975609756097
31,0.99,0.9428571428571428
32,0.9,0.8653846153846154
33,0.94,0.9261083743842364
34,0.5617977528089888,0.5847953216374269
35,0.92,0.9435897435897436
36,0.96,0.9746192893401016
