class_id,accuracy,f1
0,0.7857142857142857,0.806282722513089
1,0.79,0.7247706422018348
2,0.49,0.5868263473053892
3,0.97,0.9238095238095239
4,0.85,0.8994708994708994
5,0.46,0.4842105263157895
6,0.65,0.6842105263157895
7,0.9318181818181818,0.8159203980099502
8,0.9090909090909091,0.8294930875576036
9,0.78,0.75
10,0.88,0.9025641025641026
11,0.7731958762886598,0.7692307692307693
12,0.95,0.9359605911330049
13,0.88,0.9166666666666666
14,0.99,0.9209302325581395
15,0.95,0.9644670050761421
16,0.96,0.9504950495049505
17,0.99,0.9611650485436893
18,1.0,0.9850746268656716
19,0.98,0.9702970297029703
20,0.52,0.5810055865921788
21,0.93,0.93
22,0.96,0.9795918367346939
23,0.92,0.7863247863247863
24,0.96,0.9746192893401016
25,0.97,0.9748743718592965
26,0.62,0.62
27,0.47,0.5766871165644172
28,0.97,0.9326923076923077
29,0.99,0.9658536585365853
30,0.9696969696969697,0.9320388349514563
31,0.97,0.941747572815534
32,0.82,0.8367346938775511
33,0.95,0.9405940594059405
34,0.5168539325842697,0.575
35,0.94,0.94
36,0.97,0.9797979797979798
