class_id,accuracy,f1
0,0.7448979591836735,0.7487179487179487
1,0.92,0.7301587301587301
2,0.35,0.48951048951048953
3,0.96,0.8067226890756303
4,0.56,0.691358024691358
5,0.25,0.3184713375796178
6,0.75,0.7211538461538461
7,0.8977272727272727,0.7559808612440191
8,0.7070707070707071,0.7909604519774012
9,0.55,0.6586826347305389
10,0.91,0.7711864406779662
11,0.7010309278350515,0.7351351351351352
12,0.9,0.7929515418502202
13,0.46,0.6301369863013698
14,1.0,0.8032128514056225
15,0.88,0.9214659685863874
16,0.68,0.7953216374269005
17,1.0,0.7142857142857143
18,1.0,0.9850746268656716
19,0.77,0.8651685393258427
20,0.62,0.5740740740740741
21,0.83,0.8877005347593583
22,0.99,0.7795275590551181
23,0.83,0.7545454545454545
24,0.84,0.9130434782608695
25,0.99,0.9565217391304348
26,0.55,0.6077348066298343
27,0.65,0.6735751295336787
28,0.8,0.8888888888888888
29,0.95,0.95
30,0.8888888888888888,0.9361702127659575
31,0.99,0.9473684210526315
32,0.72,0.7955801104972375
33,0.77,0.8461538461538461
34,0.5280898876404494,0.5595238095238095
35,0.91,0.8792270531400966
36,1.0,0.9569377990430622
