class_id,accuracy,f1
0,0.5204081632653061,0.5964912280701754
1,0.7,0.6422018348623854
2,0.25,0.3048780487804878
3,0.98,0.7424242424242424
4,0.36,0.5070422535211268
5,0.47,0.4413145539906103
6,0.71,0.5966386554621849
7,0.6363636363636364,0.7567567567567568
8,0.8686868686868687,0.8557213930348259
9,0.6,0.7142857142857143
10,0.71,0.7888888888888889
11,0.5257731958762887,0.6219512195121951
12,0.79,0.8633879781420765
13,0.91,0.8921568627450981
14,1.0,0.8658008658008658
15,0.94,0.9261083743842364
16,0.87,0.8923076923076924
17,1.0,0.9569377990430622
18,0.98989898989899,0.9702970297029703
19,0.96,0.9504950495049505
20,0.46,0.467005076142132
21,0.9,0.8955223880597015
22,0.93,0.916256157635468
23,0.92,0.7634854771784232
24,0.98,0.9468599033816425
25,0.97,0.9651741293532339
26,0.16,0.24427480916030533
27,0.83,0.6335877862595419
28,0.94,0.9494949494949495
29,0.91,0.914572864321608
30,0.9494949494949495,0.912621359223301
31,0.98,0.8990825688073395
32,0.83,0.8019323671497585
33,0.86,0.8865979381443299
34,0.4943820224719101,0.5269461077844312
35,0.9,0.8955223880597015
36,1.0,0.975609756097561
