class_id,accuracy,f1
0,0.02040816326530612,0.037037037037037035
1,0.74,0.2222222222222222
2,0.17,0.20987654320987653
3,0.64,0.6632124352331606
4,0.01,0.019801980198019802
5,0.15,0.18404907975460122
6,0.01,0.019417475728155338
7,0.5340909090909091,0.2222222222222222
8,0.29292929292929293,0.3841059602649007
9,0.33,0.34375
10,0.83,0.3952380952380952
11,0.13402061855670103,0.21666666666666667
12,0.2,0.3053435114503817
13,0.07,0.1308411214953271
14,0.31,0.18618618618618618
15,0.43,0.38392857142857145
16,0.18,0.1722488038277512
17,0.67,0.7790697674418605
18,0.10101010101010101,0.17543859649122806
19,0.83,0.3624454148471616
20,0.23,0.3087248322147651
21,0.12,0.11428571428571428
22,0.04,0.07339449541284404
23,0.7,0.7446808510638298
24,0.65,0.45936395759717313
25,0.27,0.4251968503937008
26,0.06,0.09836065573770492
27,0.19,0.25675675675675674
28,0.52,0.5777777777777777
29,0.13,0.21487603305785125
30,0.7878787878787878,0.631578947368421
31,0.0,0.0
32,0.9,0.4945054945054945
33,0.0,0.0
34,0.056179775280898875,0.08695652173913043
35,0.1,0.1652892561983471
36,0.02,0.0392156862745098
