class_id,accuracy,f1
0,0.01020408163265306,0.0196078431372549
1,0.01,0.019417475728155338
2,0.54,0.41064638783269963
3,0.68,0.723404255319149
4,0.0,0.0
5,0.0,0.0
6,0.6,0.23300970873786409
7,0.06818181818181818,0.125
8,0.696969696969697,0.5726141078838174
9,0.0,0.0
10,0.47,0.5497076023391813
11,0.44329896907216493,0.5119047619047619
12,0.07,0.12962962962962962
13,0.17,0.16748768472906403
14,0.28,0.42424242424242425
15,0.27,0.226890756302521
16,0.1,0.1724137931034483
17,0.54,0.6923076923076923
18,0.40404040404040403,0.5555555555555556
19,0.46,0.4816753926701571
20,0.69,0.3641160949868074
21,0.39,0.5379310344827586
22,0.41,0.1659919028340081
23,0.43,0.593103448275862
24,0.27,0.3776223776223776
25,0.01,0.019801980198019802
26,0.0,0.0
27,0.87,0.30472854640980734
28,0.16,0.18285714285714286
29,0.02,0.0392156862745098
30,0.9494949494949495,0.3462246777163904
31,0.18,0.23376623376623376
32,0.29,0.25
33,0.03,0.057692307692307696
34,0.14606741573033707,0.10526315789473684
35,0.09,0.16071428571428573
36,0.04,0.05442176870748299
