class_id,count
0,60
1,37
2,33
3,57
4,55
5,25
6,39
7,65
8,74
9,49
10,58
11,38
12,58
13,66
14,65
15,75
16,52
17,77
18,82
19,61
20,47
21,64
22,66
23,44
24,64
25,73
26,37
27,28
28,58
29,64
30,66
31,69
32,52
33,70
34,50
35,73
36,76
