class_id,accuracy,f1
0,0.22448979591836735,0.16793893129770993
1,0.53,0.29859154929577464
2,0.29,0.32954545454545453
3,0.16,0.27586206896551724
4,0.0,0.0
5,0.09,0.1565217391304348
6,0.87,0.21641791044776118
7,0.19318181818181818,0.2698412698412698
8,0.5656565656565656,0.5283018867924528
9,0.0,0.0
10,0.15,0.2459016393442623
11,0.4020618556701031,0.5379310344827586
12,0.36,0.4067796610169492
13,0.43,0.3269961977186312
14,0.69,0.552
15,0.9,0.509915014164306
16,0.0,0.0
17,0.96,0.5614035087719298
18,0.9595959595959596,0.7307692307692307
19,0.76,0.6523605150214592
20,0.13,0.18181818181818182
21,0.72,0.6371681415929203
22,0.56,0.5517241379310345
23,0.43,0.5771812080536913
24,0.15,0.22388059701492538
25,0.09,0.1651376146788991
26,0.05,0.0546448087431694
27,0.06,0.10344827586206896
28,0.44,0.4444444444444444
29,0.21,0.2727272727272727
30,0.2828282828282828,0.4375
31,0.0,0.0
32,0.31,0.4246575342465753
33,0.26,0.3132530120481928
34,0.0449438202247191,0.061068702290076333
35,0.7,0.5907172995780591
36,0.11,0.19298245614035087
