class_id,count
0,0
1,0
2,0
3,30
4,0
5,0
6,1
7,1
8,6
9,0
10,1
11,1
12,0
13,3
14,24
15,1
16,3
17,24
18,19
19,7
20,0
21,14
22,6
23,8
24,13
25,11
26,0
27,0
28,2
29,1
30,37
31,1
32,3
33,2
34,2
35,24
36,18
