class_id,accuracy,f1
0,0.8061224489795918,0.797979797979798
1,0.83,0.7830188679245284
2,0.4,0.5228758169934641
3,0.95,0.9047619047619048
4,0.83,0.8783068783068783
5,0.42,0.4421052631578947
6,0.81,0.7363636363636363
7,0.9204545454545454,0.8307692307692308
8,0.8888888888888888,0.8627450980392157
9,0.77,0.719626168224299
10,0.85,0.8994708994708994
11,0.7010309278350515,0.7640449438202247
12,0.93,0.9207920792079208
13,0.89,0.9222797927461139
14,0.98,0.9423076923076923
15,0.97,0.9748743718592965
16,0.96,0.9504950495049505
17,1.0,0.9523809523809523
18,1.0,0.9801980198019802
19,0.94,0.9591836734693877
20,0.7,0.6306306306306306
21,0.93,0.93
22,0.99,0.9705882352941176
23,0.91,0.8348623853211009
24,0.97,0.9847715736040609
25,0.97,0.97
26,0.6,0.6486486486486487
27,0.34,0.4892086330935252
28,0.96,0.9504950495049505
29,0.97,0.9556650246305419
30,0.9292929292929293,0.934010152284264
31,0.99,0.9252336448598131
32,0.74,0.8087431693989071
33,0.95,0.926829268292683
34,0.6629213483146067,0.59
35,0.97,0.941747572815534
36,0.98,0.9849246231155779
