epoch,train_loss,train_supervised_loss,train_unsupervised_loss,pseudo_keep_ratio,test_loss,test_acc,test_macro_f1
1,3.5443778236707053,3.5443778236707053,0.0,0.0,2.9066844035247654,0.2837285363859362,0.26125545982022214
2,2.5078187187512717,2.5078187187512717,0.0,0.0,2.198992846479335,0.5829926410466068,0.5728077479836452
3,1.7416644096374512,1.7416644096374512,0.0,0.0,1.7200069746876256,0.6941946034341783,0.6806943877511223
4,1.2504241665204365,1.2504241665204365,0.0,0.0,1.3887344759600335,0.7773235213954756,0.7681378067785065
5,0.9641592701276144,0.9322596391042074,0.0637992595632871,0.005208333333333333,1.1879262187299626,0.7835922594712456,0.7815037093718116
6,0.8664242625236511,0.7522554596265157,0.22833760206898054,0.028645833333333332,1.1028972864191615,0.7729626601253747,0.7709410186479096
7,0.769533708691597,0.6626575589179993,0.21375229333837828,0.059895833333333336,0.9978068350169794,0.7792313982011447,0.7769298858321018
8,0.692901814977328,0.5129566316803297,0.35989036845664185,0.13541666666666666,0.8998267447251524,0.7994003815753611,0.7960292117790242
9,0.666888232032458,0.4415491670370102,0.45067812874913216,0.20572916666666666,0.8517709638173069,0.7961297356227856,0.7907196380299891
10,0.6046302964289983,0.3759777198235194,0.4573051532109578,0.23958333333333334,0.7820389585782215,0.8081221041155628,0.8036703678539436
