epoch,train_loss,train_supervised_loss,train_unsupervised_loss,pseudo_keep_ratio,test_loss,test_acc,test_macro_f1
1,3.488612790902456,3.488612790902456,0.0,0.0,2.8871227212028887,0.3107113654946852,0.2854100896453058
2,2.420224219560623,2.420224219560623,0.0,0.0,2.1909297792747124,0.5598255655491959,0.5398369046243875
3,1.7181623478730519,1.7181623478730519,0.0,0.0,1.6968296531046663,0.6955573725810847,0.6708786331036617
4,1.2150901506344478,1.2150901506344478,0.0,0.0,1.383496040818996,0.7467974925047697,0.7387950104123765
5,1.1341668665409088,0.9096297671397527,0.22453710188468298,0.010416666666666666,1.1991389127218226,0.7645134914145544,0.7493043352891837
6,0.9745166103045145,0.8181582540273666,0.15635835627714792,0.06510416666666667,1.1882616637285284,0.6996456800218043,0.6953445217669468
7,1.0269167373577754,0.7138296167055765,0.31308712003131706,0.11979166666666667,1.1400274903548775,0.6734805124011992,0.6728126989042573
8,0.9043735365072886,0.5606616710623106,0.34371185551087063,0.15364583333333334,0.9588035505745254,0.7473426001635323,0.7395726016734865
9,0.9819476107756296,0.4790194158752759,0.5029281949003538,0.18229166666666666,0.9147985186625823,0.7451621695284819,0.739729408085655
10,0.7242530087629954,0.40810537586609524,0.31614763538042706,0.22135416666666666,0.8215538918419669,0.7800490596892886,0.77384403710148
