epoch,train_loss,train_supervised_loss,train_unsupervised_loss,pseudo_keep_ratio,test_loss,test_acc,test_macro_f1
1,4.31371283531189,4.31371283531189,0.0,0.0,3.6444640089426485,0.03952030526028891,0.02618084474187772
2,3.6306662559509277,3.6306662559509277,0.0,0.0,3.4879369577161947,0.04633415099482148,0.04601642771758796
3,3.236689805984497,3.236689805984497,0.0,0.0,3.3875175900016115,0.06132461161079313,0.05555596785869379
4,2.934757709503174,2.934757709503174,0.0,0.0,3.29070740624649,0.09975470155355683,0.08122039076276821
5,2.7860255241394043,2.7860255241394043,0.0,0.0,3.181587837995902,0.14063777596075225,0.11559665371059243
6,2.492688536643982,2.492688536643982,0.0,0.0,3.065420022222644,0.17416189697465248,0.14716319633626923
7,2.0750112533569336,2.0750112533569336,0.0,0.0,2.9509233150861673,0.21995094031071136,0.18865274632924334
8,1.8608169555664062,1.8608169555664062,0.0,0.0,2.843334355124273,0.27527936767511585,0.2362035352041264
9,1.7478715777397156,1.7478715777397156,0.0,0.0,2.7465878703282947,0.32352139547560643,0.27351385782806464
10,1.2957210540771484,1.2957210540771484,0.0,0.0,2.6614945548923896,0.35459253202507496,0.2941342702346203
