epoch,train_loss,train_supervised_loss,train_unsupervised_loss,pseudo_keep_ratio,test_loss,test_acc,test_macro_f1
1,3.953658938407898,3.953658938407898,0.0,0.0,3.5955760244388744,0.044971381847914965,0.03403364578611745
2,3.5014818906784058,3.5014818906784058,0.0,0.0,3.4516850050024,0.05750885799945489,0.04265041882946887
3,2.883278489112854,2.883278489112854,0.0,0.0,3.3566240122611335,0.07031888798037612,0.04224778933667477
4,2.6282063722610474,2.6282063722610474,0.0,0.0,3.271760448898727,0.08912510220768602,0.05304284053726775
5,2.3781960010528564,2.3781960010528564,0.0,0.0,3.175220117610558,0.11856091578086672,0.07850854273701599
6,2.1241490840911865,2.1241490840911865,0.0,0.0,3.0773933015684563,0.1471790678659035,0.10657172563276705
7,1.9513803720474243,1.9513803720474243,0.0,0.0,2.97331616819376,0.17634232760970292,0.13799942847356378
8,1.9760745763778687,1.9760745763778687,0.0,0.0,2.8576361296059294,0.2019623875715454,0.16406530650168014
9,1.4332554340362549,1.4332554340362549,0.0,0.0,2.7373964965229756,0.25565549195966203,0.221341870114002
10,1.24903404712677,1.24903404712677,0.0,0.0,2.629009008797484,0.3090760425183974,0.2730828519277688
