epoch,train_loss,train_supervised_loss,train_unsupervised_loss,pseudo_keep_ratio,test_loss,test_acc,test_macro_f1
1,4.197236061096191,4.197236061096191,0.0,0.0,3.6471280365426915,0.018806214227309895,0.016995105245008323
2,3.510153889656067,3.510153889656067,0.0,0.0,3.496940614742426,0.04660670482420278,0.04238643376456741
3,3.131926655769348,3.131926655769348,0.0,0.0,3.4075732647674095,0.059689288634505316,0.041955340897714646
4,2.857906699180603,2.857906699180603,0.0,0.0,3.3281121493750483,0.07440719542109567,0.04763710055472719
5,2.814487934112549,2.814487934112549,0.0,0.0,3.2238951484459757,0.09866448623603162,0.06957044517943502
6,2.342135190963745,2.342135190963745,0.0,0.0,3.0988925732134085,0.15099482147724175,0.11858081428713459
7,2.06514835357666,2.06514835357666,0.0,0.0,2.980225950406403,0.21041155628236577,0.17690687295274776
8,1.7958612442016602,1.7958612442016602,0.0,0.0,2.874108466246889,0.252929953665849,0.22461381817532286
9,1.5075955986976624,1.5075955986976624,0.0,0.0,2.777687975352452,0.27609702916325973,0.2497389413647236
10,1.4550781846046448,1.4550781846046448,0.0,0.0,2.68696770839582,0.2924502589261379,0.2651071815366515
